Date,BR Activity,BR Futures,Dolar Ref,BR Futures P&L,US Activity,US Futures,US Futures P&L,US Equities P&L,Futures P&L,Total P&L,Return in %,Total P&L Cum Sum,Return Cum Sum
23/07/2020,0.0,64846.95,5.1901,12494.354636712202,-2600.0,-13752.221350000022,-16352.221350000022,0.0,-3857.86671328782,-3857.86671328782,-0.4977892533274606,-3756.6691518843527,-0.4847315034689488
24/07/2020,0.0,11842.29,5.1888,2282.279139685477,0.0,920.7989999999955,920.7989999999955,0.0,3203.0781396854723,3203.0781396854723,0.4133004051207061,-553.5910121988804,-0.07143109834824268
27/07/2020,0.0,-27176.34,5.1564,-5270.409588084711,0.0,7318.949999999999,7318.949999999999,0.0,2048.540411915288,2048.540411915288,0.2643277950858436,1494.9493997164077,0.1928966967376009
28/07/2020,0.0,30259.57,5.1422,5884.557193419159,0.0,-7675.01999999998,-7675.01999999998,0.0,-1790.462806580821,-1790.462806580821,-0.2310274589136543,-295.51340686441335,-0.03813076217605341
29/07/2020,0.0,-61087.7,5.1464,-11869.986786880148,0.0,12753.35,12753.35,0.0,883.3632131198519,883.3632131198519,0.11398235007998091,587.8498062554386,0.0758515879039275
30/07/2020,0.0,-48199.79,5.1494,-9360.2730415194,0.0,7094.0799999999645,7094.0799999999645,0.0,-2266.1930415194356,-2266.1930415194356,-0.2924120053573465,-1678.343235263997,-0.21656041745341903
31/07/2020,0.0,3624.65,5.2123,695.4031809373981,0.0,-6638.799600000269,-6638.799600000269,0.0,-5943.39641906287,-5943.39641906287,-0.7668898605242414,-7621.739654326868,-0.9834502779776604
03/08/2020,0.0,46735.89,5.3175,8789.071932299013,0.0,-9840.00000000001,-9840.00000000001,0.0,-1050.9280677009956,-1050.9280677009956,-0.13560362163883816,-8672.667722027863,-1.1190538996164985
04/08/2020,0.0,39687.74,5.3135,7469.227439540791,0.0,-5621.369999999995,-5621.369999999995,0.0,1847.857439540796,1847.857439540796,0.23843321800526399,-6824.8102824870675,-0.8806206816112345
05/08/2020,0.0,42657.32,5.3059,8039.601198665636,0.0,-7692.599999999998,-7692.599999999998,0.0,347.0011986656382,347.0011986656382,0.04477434821492105,-6477.809083821429,-0.8358463333963134
06/08/2020,0.0,26323.21,5.3522,4918.203729307575,0.0,-3520.5199999999963,-3520.5199999999963,0.0,1397.6837293075782,1397.6837293075782,0.18034628765259075,-5080.125354513852,-0.6555000457437227
07/08/2020,0.0,-3239.41,5.4227,-597.3795341803898,0.0,924.7399999999975,924.7399999999975,0.0,327.3604658196077,327.3604658196077,0.04224006010575584,-4752.764888694244,-0.6132599856379668
10/08/2020,-10406.6,20069.68,5.4586,1770.2487817389076,0.0,-1339.5700000000004,-1339.5700000000004,0.0,430.6787817389072,430.6787817389072,0.05557145570824609,-4322.0861069553375,-0.5576885299297207
11/08/2020,0.0,-16164.43,5.3944,-2996.5204656681003,0.0,2497.2999999999965,2497.2999999999965,0.0,-499.22046566810377,-499.22046566810377,-0.06441554395717468,-4821.306572623442,-0.6221040738868954
12/08/2020,0.0,-21455.34,5.4716,-3921.2186563345276,0.0,3805.449999999889,3805.449999999889,0.0,-115.76865633463876,-115.76865633463876,-0.01493789113995339,-4937.0752289580805,-0.6370419650268487
13/08/2020,0.0,3247.38,5.3758,604.0738122698017,0.0,3208.9075000000416,3208.9075000000416,0.0,3812.9813122698433,3812.9813122698433,0.4919975886799798,-1124.0939166882372,-0.14504437634686895
14/08/2020,0.0,27175.85,5.4358,4999.420508480812,0.0,-4184.8199999996505,-4184.8199999996505,0.0,814.6005084811613,814.6005084811613,0.10510974302982727,-309.49340820707584,-0.03993463331704168
17/08/2020,0.0,4221.81,5.5106,766.1252858127972,0.0,2439.100000000008,2439.100000000008,0.0,3205.2252858128054,3205.2252858128054,0.4135774562339104,2895.7318776057296,0.37364282291686873
18/08/2020,0.0,-1207.49,5.4765,-220.48571167716608,0.0,1524.9999999999993,1524.9999999999993,0.0,1304.5142883228332,1304.5142883228332,0.16832442429972042,4200.246165928563,0.5419672472165892
19/08/2020,0.0,-8801.75,5.5145,-1596.1102547828452,0.0,3510.550000000003,3510.550000000003,0.0,1914.4397452171577,1914.4397452171577,0.24702448325382678,6114.685911145721,0.7889917304704159
20/08/2020,0.0,-5775.14,5.5675,-1037.2950157162102,0.0,516.3999999999978,516.3999999999978,0.0,-520.8950157162124,-520.8950157162124,-0.0672122600924145,5593.790895429508,0.7217794703780014
21/08/2020,0.0,2533.3,5.6047,451.99564651096404,0.0,1852.9999999999984,1852.9999999999984,0.0,2304.9956465109626,2304.9956465109626,0.2974187930981887,7898.786541940471,1.01919826347619
24/08/2020,0.0,-106305.73,5.5992,-18985.878339762825,0.0,26530.19850000008,26530.19850000008,0.0,7544.320160237254,7544.320160237254,0.9734606658370649,15443.106702177723,1.9926589293132548
25/08/2020,156265.2,22399.16,5.5283,32318.137582982115,-28000.0,-3748.8025000001203,-31748.80250000012,0.0,569.3350829819938,569.3350829819938,0.07346259135251533,16012.441785159717,2.0661215206657704
26/08/2020,0.0,-7709.95,5.6107,-1374.1511754326555,0.0,3627.150000000009,3627.150000000009,0.0,2252.998824567354,2252.998824567354,0.2907095257506263,18265.44060972707,2.3568310464163966
27/08/2020,0.0,-18743.02,5.5664,-3367.1708824374823,0.0,4254.500000000002,4254.500000000002,0.0,887.3291175625195,887.3291175625195,0.11449407968548639,19152.76972728959,2.471325126101883
28/08/2020,0.0,-4191.18,5.4158,-773.8801285128698,0.0,-719.5995000000548,-719.5995000000548,0.0,-1493.4796285129246,-1493.4796285129246,-0.19270704884037737,17659.290098776666,2.2786180772615054
31/08/2020,0.0,10405.08,5.4676,1903.0433828370765,0.0,4002.651999999929,4002.651999999929,0.0,5905.695382837006,5905.695382837006,0.7620252106886459,23564.985481613672,3.0406432879501515
01/09/2020,0.0,-59792.21,5.3722,-11129.930010051747,0.0,11587.747500000156,11587.747500000156,0.0,457.8174899484093,457.8174899484093,0.05907322450947216,24022.80297156208,3.0997165124596235
02/09/2020,0.0,6807.61,5.3651,1268.8691729883878,0.0,3600.25,3600.25,0.0,4869.119172988388,4869.119172988388,0.6282734416759209,28891.922144550466,3.7279899541355443
03/09/2020,0.0,53805.88,5.2775,10195.334912363809,0.0,-16339.749499999285,-16339.749499999285,0.0,-6144.414587635476,-6144.414587635476,-0.7928276887271583,22747.507556914992,2.935162265408386
04/09/2020,0.0,357617.75,5.303,67436.87535357344,0.0,-62917.35039999981,-62917.35039999981,0.0,4519.524953573637,4519.524953573637,0.5831645101385338,27267.03251048863,3.5183267755469196
08/09/2020,-350000.0,148559.52,5.3586,-37591.99790990184,64910.97923,-24052.544000000267,40858.435229999726,0.0,3266.437320097888,3266.437320097888,0.4214757832384372,30533.469830586517,3.939802558785357
09/09/2020,-210942.6,239581.48,5.2927,5411.01517184046,37815.76161,-39416.2960000001,-1600.5343900000953,0.0,3810.480781840365,3810.480781840365,0.4916749395923052,34343.95061242688,4.431477498377662
10/09/2020,-400000.0,-50449.68,5.3076,-84868.80699374482,75443.22897000001,5785.047999999892,81228.2769699999,0.0,-3640.530023744912,-3640.530023744912,-0.4697458095154725,30703.42058868197,3.9617316888621894
11/09/2020,0.0,-19035.15,5.3334,-3569.046011924851,0.0,-653.5520000000223,-653.5520000000223,0.0,-4222.598011924873,-4222.598011924873,-0.544851356377403,26480.822576757095,3.4168803324847863
14/09/2020,0.0,40411.61,5.2682,7670.857218784405,0.0,-1406.0890449976825,-1406.0890449976825,0.0,6264.768173786722,6264.768173786722,0.8083571837144157,32745.590750543815,4.225237516199202
