Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L Trades,Gross P&L Rolagem,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
29/04/2021,DOLK21,0,0,0,0,5351.17,35,0,5349.571429,0,35,0,5.3546,5.6973,35.0,0.0,0.0,2797.499250000783,2797.499250000783,17.5,1.05,0.0,209.375775,2570.623475000783
30/04/2021,DOLK21,0,0,0,0,5403.6,40,10,5359.3125,5365,40,10,5.4102,5.6973,65.0,91752.50000000051,0.0,69275.00000000055,69275.00000000055,25.0,1.05,0.0,299.10825,160703.39175000106
