Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
30/04/2021,6L M21,0.0,0.0,5.0,0.18632,0.18369999527931213,-5.0,0.0,1310.0023603439397,4.25,8.100000000000001,1297.6523603439398
03/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18449999392032626,-5.0,-399.99932050706343,0.0,0.0,0.0,-399.99932050706343
04/05/2021,6L M21,0.0,0.0,0.0,0.0,0.1836500018835068,-5.0,424.996018409729,0.0,0.0,0.0,424.996018409729
05/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18614999949932096,-5.0,-1249.9988079070768,0.0,0.0,0.0,-1249.9988079070768
06/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18905000388622284,-5.0,-1450.0021934509416,0.0,0.0,0.0,-1450.0021934509416
07/05/2021,6L M21,0.0,0.0,0.0,0.0,0.1909500062465668,-5.0,-950.0011801719804,0.0,0.0,0.0,-950.0011801719804
10/05/2021,6L M21,0.0,0.0,0.0,0.0,0.19059999287128448,-5.0,175.00668764115767,0.0,0.0,0.0,175.00668764115767
11/05/2021,6L M21,0.0,0.0,0.0,0.0,0.19110000133514404,-5.0,-250.00423192977905,0.0,0.0,0.0,-250.00423192977905
12/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18905000388622284,-5.0,1024.9987244606018,0.0,0.0,0.0,1024.9987244606018
13/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18860000371932986,-5.0,225.00008344648882,0.0,0.0,0.0,225.00008344648882
14/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18975000083446505,-5.0,-574.9985575675964,0.0,0.0,0.0,-574.9985575675964
17/05/2021,6L M21,0.0,0.0,0.0,0.0,0.1899999976158142,-5.0,-124.99839067457718,0.0,0.0,0.0,-124.99839067457718
18/05/2021,6L M21,0.0,0.0,0.0,0.0,0.1902499943971634,-5.0,-124.99839067459106,0.0,0.0,0.0,-124.99839067459106
19/05/2021,6L M21,1.0,0.188,0.0,0.0,0.18780000507831573,-4.0,1224.9946594238281,-19.999492168426556,0.85,1.62,1202.5251672554018
20/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18925000727176666,-4.0,-580.0008773803711,0.0,0.0,0.0,-580.0008773803711
21/05/2021,6L M21,0.0,0.0,0.0,0.0,0.186599999666214,-4.0,1060.0030422210693,0.0,0.0,0.0,1060.0030422210693
24/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18790000677108765,-4.0,-520.0028419494629,0.0,0.0,0.0,-520.0028419494629
25/05/2021,6L M21,0.0,0.0,0.0,0.0,0.18745000660419464,-4.0,180.00006675720215,0.0,0.0,0.0,180.00006675720215
