Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
18/12/2020,MES H21,0.0,0.0,9.0,3712.027778,3706.2,-9.0,0.0,262.25001000001384,0.6749999999999999,0.075,1.98,259.5950100000138
21/12/2020,MES H21,0.0,0.0,2.0,3684.75,3685.8,-11.0,917.9999999999836,-10.500000000001819,0.15,0.075,0.44,906.9099999999818
22/12/2020,MES H21,11.0,3676.5,0.0,0.0,3677.3,0.0,467.5,44.000000000010004,0.825,0.075,2.42,508.25500000001
23/12/2020,MES H21,0.0,0.0,0.0,0.0,3681.5,0.0,0.0,0.0,0.0,0.075,0.0,0.0
28/12/2020,MES H21,0.0,0.0,0.0,0.0,3727.5,0.0,0.0,0.0,0.0,0.075,0.0,0.0
29/12/2020,MES H21,0.0,0.0,0.0,0.0,3719.9,0.0,-0.0,0.0,0.0,0.075,0.0,0.0
30/12/2020,MES H21,6.0,3723.5,0.0,0.0,3724.2,6.0,0.0,20.999999999994543,0.44999999999999996,0.075,1.32,19.229999999994543
31/12/2020,MES H21,0.0,0.0,0.0,0.0,3748.8,6.0,738.0000000000109,0.0,0.0,0.075,0.0,738.0000000000109
04/01/2021,MES H21,0.0,0.0,6.0,3765.5,3692.2,0.0,-1698.000000000011,2199.0000000000055,0.44999999999999996,0.075,1.32,499.22999999999456
05/01/2021,MES H21,0.0,0.0,0.0,0.0,3718.2,0.0,0.0,0.0,0.0,0.075,0.0,0.0
06/01/2021,MES H21,0.0,0.0,0.0,0.0,3740.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0
07/01/2021,MES H21,0.0,0.0,0.0,0.0,3795.6,0.0,0.0,0.0,0.0,0.075,0.0,0.0
08/01/2021,MES H21,23.0,3807.826087,29.0,3809.965517,3817.5,-6.0,0.0,19.99996000002284,3.9,0.075,11.44,4.65996000002284
11/01/2021,MES H21,6.0,3799.416667,9.0,3791.75,3792.0,-9.0,765.0,-233.75000999999884,1.125,0.075,3.3,526.8249900000012
12/01/2021,MES H21,9.0,3799.361111,0.0,0.0,3794.5,0.0,-112.5,-218.7499950000074,0.6749999999999999,0.075,1.98,-333.90499500000743
13/01/2021,MES H21,10.0,3803.5,0.0,0.0,3803.8,10.0,0.0,15.000000000009095,0.75,0.075,2.2,12.050000000009096
14/01/2021,MES H21,0.0,0.0,10.0,3796.25,3791.2,0.0,-630.0000000000182,252.5000000000091,0.75,0.075,2.2,-380.4500000000091
15/01/2021,MES H21,0.0,0.0,0.0,0.0,3762.3,0.0,-0.0,0.0,0.0,0.075,0.0,0.0
18/01/2021,MES H21,0.0,0.0,0.0,0.0,3762.3,0.0,-0.0,0.0,0.0,0.075,0.0,0.0
