Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Px Close Rolagem,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,MtoM P&L Rolagem,Gross P&L,Comm,Comm Test,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
23/09/2020,ISPH21,0.0,0.0,9.0,3248.75,3248.75,0.0,0.0,,,0.0,9.0,,5.5675,5.4676,-9.0,0.0,0.0,0.0,3.6,,2.61,30.761904761904763,128.433924,-132.03392399999998
24/09/2020,ISPH21,29.0,3240.0,15.0,3242.0,3242.0,0.0,0.0,3248.75,3248.75,29.0,15.0,3248.75,5.5062,5.4676,5.0,16725.0825,0.0,15967.98,17.6,,2.61,30.761904761904763,413.842644,32261.619856
25/09/2020,ISPH21,5.0,3279.75,0.0,0.0,3278.75,0.0,0.0,3242.0,3242.0,5.0,0.0,3242.0,5.5526,5.4676,10.0,51014.5125,0.0,-1388.15,2.0,,2.61,30.761904761904763,71.35217999999999,49553.010319999994
28/09/2020,ISPH21,0.0,0.0,0.0,0.0,3337.5,0.0,0.0,3278.75,3278.75,0.0,0.0,3278.75,5.6211,5.4676,10.0,165119.8125,0.0,0.0,0.0,,2.61,36.57142857142857,0.0,165119.8125
29/09/2020,ISPH21,0.0,0.0,1.0,3345.75,3325.25,0.0,0.0,3337.5,3337.5,0.0,1.0,3337.5,5.6409,5.4676,9.0,-34550.512500000004,0.0,5781.922500000001,0.4,,2.61,36.57142857142857,14.270436,-28783.260436000004
30/09/2020,ISPH21,0.0,0.0,0.0,0.0,3336.0,0.0,0.0,3325.25,3325.25,0.0,0.0,3325.25,5.6298,5.4676,9.0,27234.1575,0.0,0.0,0.0,,2.61,36.57142857142857,0.0,27234.1575
01/10/2020,ISPH21,0.0,0.0,0.0,0.0,3359.0,0.0,0.0,3336.0,3336.0,0.0,0.0,3336.0,5.6472,5.6298,9.0,58448.52,0.0,0.0,0.0,,2.61,36.57142857142857,0.0,58448.52
02/10/2020,ISPH21,0.0,0.0,0.0,0.0,3330.5,0.0,0.0,3359.0,3359.0,0.0,0.0,3359.0,5.6565,5.6298,9.0,-72544.6125,0.0,0.0,0.0,,2.61,36.57142857142857,0.0,-72544.6125
05/10/2020,ISPH21,0.0,0.0,0.0,0.0,3384.25,0.0,0.0,3330.5,3330.5,0.0,0.0,3330.5,5.5812,5.6298,9.0,134995.275,0.0,0.0,0.0,,2.61,40.857142857142854,0.0,134995.275
06/10/2020,ISPH21,0.0,0.0,0.0,0.0,3328.25,0.0,0.0,3384.25,3384.25,0.0,0.0,3384.25,5.5693,5.6298,9.0,-140346.36000000002,0.0,0.0,0.0,,2.61,40.857142857142854,0.0,-140346.36000000002
