Date,Ticker,Buy Quant,Sell Quant,Buyer Sell Price,Buyer Buy Price,Seller Buy Price,Seller Sell Price,Buyer Ticker,Buyer Gross P&L,Seller Ticker,Seller Gross P&L
29/04/2021,DR1K21M21,0,35,0,5349.571429,0.0,5361.154286,DOLK21,2797.499250000783,DOLM21,-3005.999499997415
30/04/2021,DR1K21M21,10,40,5365,5359.3125,5377.5,5372.3625,DOLK21,69275.00000000055,DOLM21,-95398.49999999932
