Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
14/10/2020,-9470.000000000035,603.7499999996497,-9006.050000000385,78.65,61.15,-,-,0.0,-60438.60954499514,67569.96981000001,16137.410265005268,-9006.050000000385,7131.3602650048815
15/10/2020,-1619.9999999999975,5041.2508000004655,3228.8508000004686,107.2,85.2,-,-,0.0,-57209.75874499467,67569.96981000001,7131.360265004883,3228.8508000004686,10360.211065005351
16/10/2020,-8950.000000000196,9049.500005000056,73.90500499986183,14.285,11.31,-,-,0.0,-57135.85373999481,67569.96981000001,10360.211065005351,73.90500499986183,10434.116070005213
19/10/2020,-13522.499999999995,-22149.49977500016,-35762.554775000164,49.795,40.76000000000001,-,-,0.0,-92898.40851499498,67569.96981000001,10434.116070005213,-35762.554775000164,-25328.43870499495
20/10/2020,7450.0,5277.25004500028,12662.45504500028,35.265,29.53,-,-,0.0,-80235.9534699947,67569.96981000001,-25328.43870499495,12662.45504500028,-12665.98365999467
21/10/2020,481.5000000000673,-1513.749980000158,-1085.0049800000909,28.895000000000003,23.86,-,-,0.0,-81320.95844999478,67569.96981000001,-12665.98365999467,-1085.0049800000909,-13750.98863999476
22/10/2020,5557.999999999944,0.0,5557.999999999944,0.0,0.0,-,-,0.0,-75762.95844999484,67569.96981000001,-13750.98863999476,5557.999999999944,-8192.988639994817
23/10/2020,1124.0000000001223,-55.499999999988184,1058.705000000134,5.385,4.41,-,-,0.0,-74704.2534499947,67569.96981000001,-8192.988639994817,1058.705000000134,-7134.283639994683
26/10/2020,-23611.500000000076,-10237.499979999991,-33944.14998000007,53.45,41.7,-,-,0.0,-108648.40342999477,67569.96981000001,-7134.283639994683,-33944.14998000007,-41078.43361999475
27/10/2020,-2900.0000000000327,-4879.750014999862,-7823.105014999895,17.975,25.38,-,-,0.0,-116471.50844499466,67569.96981000001,-41078.43361999475,-7823.105014999895,-48901.53863499464
28/10/2020,25115.999999999975,-26203.750205000077,-1185.3252050000974,49.875,47.7,-,-,0.0,-117656.83364999476,67569.96981000001,-48901.53863499464,-1185.3252050000974,-50086.86383999474
29/10/2020,-1784.0000000000068,18935.499900000148,16987.154900000143,92.785,71.56,-,-,0.0,-100669.67874999462,67569.96981000001,-50086.86383999474,16987.154900000143,-33099.7089399946
30/10/2020,-35093.000000000335,-8363.749984999917,-43530.679985000264,39.55,34.38,-,-,0.0,-144200.3587349949,67569.96981000001,-33099.7089399946,-43530.679985000264,-76630.38892499486
02/11/2020,12269.00000000005,0.0,12269.00000000005,0.0,0.0,-,-,0.0,-131931.35873499484,67569.96981000001,-76630.38892499486,12269.00000000005,-64361.388924994804
03/11/2020,19707.99999999998,-2845.250040000003,16815.96995999998,24.6,22.18,-,-,0.0,-115115.38877499485,67569.96981000001,-64361.388924994804,16815.96995999998,-47545.418964994824
04/11/2020,27137.000000000062,13123.50007999978,40160.82007999985,54.3,45.38,-,-,0.0,-74954.56869499499,67569.96981000001,-47545.418964994824,40160.82007999985,-7384.598884994972
05/11/2020,11637.000000000022,743.5000249999985,12314.065025000016,38.055,28.38,-,-,0.0,-62640.50366999497,67569.96981000001,-7384.598884994972,12314.065025000016,4929.4661400050445
