Date,MtoM P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total Cum Sum
26/08/2020,12435.000000000005,3627.150000000009,44.1,26.25,-,-,0.0,29690.919000000198,-80600.0,-54536.230999999796,-50909.08099999979
27/08/2020,4355.000000000002,4254.500000000002,63.0,37.5,-,-,0.0,33945.4190000002,-80600.0,-50909.08099999979,-46654.58099999979
28/08/2020,2224.9999999999977,-719.5995000000548,34.120000000000005,26.48,-,-,0.0,33225.81950000014,-80600.0,-46654.58099999979,-47374.18049999984
31/08/2020,-8250.0,4002.651999999929,107.62,70.23,-,-,0.0,37228.47150000007,-80600.0,-47374.18049999984,-43371.52849999991
01/09/2020,17180.0,11587.747500000156,73.5,43.75,-,-,0.0,48816.21900000023,-80600.0,-43371.52849999991,-31783.780999999755
02/09/2020,34717.5,3600.25,73.5,43.75,-,-,0.0,52416.46900000023,-80600.0,-31783.780999999755,-28183.530999999755
03/09/2020,-58595.0,-16339.749499999285,63.13,39.12,-,-,0.0,36076.719500000945,-80600.0,-28183.530999999755,-44523.28049999904
04/09/2020,-31999.999999999996,-62917.350399999814,73.75,43.6,-,-,0.0,-26840.63089999887,-80600.0,-44523.28049999904,-107440.63089999885
08/09/2020,-50612.50000000001,-24052.544000000267,78.86,57.44000000000001,FX - Buy USD,5.392,64910.97923,-50893.17489999914,-15689.020770000003,-42529.65166999886,-66582.19566999913
09/09/2020,-46610.0,-39416.2960000001,58.8,35.0,FX - Buy USD,5.2888,37815.76161,-90309.47089999923,22126.74084,-28766.434059999123,-68182.73005999922
10/09/2020,-41380.0,5785.047999999892,57.22000000000001,40.23,FX - Buy USD,5.3020000000000005,75443.22897000001,-84524.42289999934,97569.96981000001,7260.4989100007915,13045.546910000689
11/09/2020,4377.499999999995,-653.5520000000223,27.3,16.25,-,-,0.0,-85177.97489999936,97569.96981000001,13045.546910000685,12391.994910000667
14/09/2020,-329.99999999999636,-1406.0890449976825,288.79,238.8,-,-,0.0,-86584.06394499705,97569.96981000001,12391.994910000663,10985.905865002984
15/09/2020,19.9999999999978,15099.88854000115,207.08,166.78,-,-,0.0,-71484.1754049959,97569.96981000001,10985.90586500298,26085.794405004133
