Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
02/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1879,0.0,0.0,0.0,0.0,0.0,0.0
06/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1866,0.0,-0.0,0.0,0.0,0.0,0.0
07/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1861,0.0,-0.0,0.0,0.0,0.0,0.0
08/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.0
09/07/2020,6L Q20,0.0,0.0,3.0,0.1866,0.1864,-3.0,-0.0,59.99999999999339,0.39,4.86,54.74999999999339
10/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.18525,-3.0,345.00000000000364,0.0,0.0,0.0,345.00000000000364
13/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.18485,-3.0,120.00000000000344,0.0,0.0,0.0,120.00000000000344
14/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1874,-3.0,-765.0000000000074,0.0,0.0,0.0,-765.0000000000074
15/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1861,-3.0,390.000000000007,0.0,0.0,0.0,390.000000000007
16/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1874,-3.0,-390.000000000007,0.0,0.0,0.0,-390.000000000007
17/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.18565,-3.0,525.0000000000005,0.0,0.0,0.0,525.0000000000005
20/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.18735,-3.0,-509.9999999999938,0.0,0.0,0.0,-509.9999999999938
21/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.19285,-3.0,-1650.0000000000014,0.0,0.0,0.0,-1650.0000000000014
22/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.19525,-3.0,-720.000000000004,0.0,0.0,0.0,-720.000000000004
23/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.19255,-3.0,810.0000000000024,0.0,0.0,0.0,810.0000000000024
24/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1911,-3.0,435.00000000000205,0.0,0.0,0.0,435.00000000000205
27/07/2020,6L Q20,0.0,0.0,0.0,0.0,0.1941,-3.0,-900.0000000000008,0.0,0.0,0.0,-900.0000000000008
28/07/2020,6L Q20,3.0,0.19495,0.0,0.0,0.19375,0.0,104.99999999999676,-360.000000000002,0.39,4.86,-260.25000000000523
