Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L Trades,Gross P&L Rolagem,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
15/03/2021,WSPM21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6246,5.5302,0.0,0.0,0.0,0.0,0.0,0.0,2.84,17.099999999999998,0.0,0.0
16/03/2021,WSPM21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6191,5.5302,0.0,-0.0,0.0,0.0,0.0,0.0,2.84,17.099999999999998,0.0,0.0
17/03/2021,WSPM21,62.0,3950.27419354839,162.0,3943.1280864197497,3963.5,91.0,0.0,0.0,3953.45,62.0,253.0,5.5899,5.5302,-191.0,0.0,-34660.8736875102,-12780.607612500231,-47441.481300010426,9.45,2.84,17.099999999999998,397.35593040000003,-47848.287230410424
18/03/2021,WSPM21,0.0,0.0,0.0,0.0,3916.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5524,5.5302,-191.0,125935.37249999998,0.0,0.0,0.0,0.0,2.84,17.099999999999998,0.0,125935.37249999998
19/03/2021,WSPM21,157.0,3906.76910828025,126.0,3915.92261904762,3904.5,0.0,0.0,0.0,0.0,157.0,126.0,5.4774,5.5302,-160.0,30077.77275,14830.06050001256,0.0,14830.06050001256,8.49,2.84,17.099999999999998,246.5805576,44652.762692412565
22/03/2021,WSPM21,40.0,3932.125,80.0,3930.9375,3932.25,0.0,0.0,0.0,0.0,40.0,80.0,5.5032,5.5302,-200.0,-61085.52,-1375.8,0.0,-1375.8,3.5999999999999996,2.84,22.271428571428572,125.64614399999999,-62590.566144
23/03/2021,WSPM21,169.0,3908.1701183432,189.0,3931.52116402116,3900.0,0.0,0.0,0.0,0.0,169.0,189.0,5.481,5.5302,-220.0,88381.125,62712.91687497858,0.0,62712.91687497858,10.74,2.84,22.271428571428572,296.8390152,150786.46285977858
24/03/2021,WSPM21,101.0,3912.84900990099,181.0,3923.25552486188,3884.0,0.0,0.0,0.0,0.0,101.0,181.0,5.5902,5.5302,-300.0,49193.76,58578.30825000419,0.0,58578.30825000419,8.459999999999999,2.84,22.271428571428572,284.27440079999997,107479.3338492042
25/03/2021,WSPM21,346.0,3892.9010115606898,266.0,3877.7199248120296,3900.5,0.0,0.0,0.0,0.0,346.0,266.0,5.67,5.5302,-220.0,-70166.25,-48623.793749982775,0.0,-48623.793749982775,18.36,2.84,22.271428571428572,543.4195728000001,-119351.82332278279
26/03/2021,WSPM21,87.0,3954.2471264367796,107.0,3964.8387850467298,3964.0,0.0,0.0,0.0,0.0,87.0,107.0,5.7506,5.5302,-240.0,-200839.70500000002,13488.75112500374,0.0,13488.75112500374,5.819999999999999,2.84,22.271428571428572,168.0517176,-187524.8255925963
29/03/2021,WSPM21,16.0,3959.03125,96.0,3958.6640625,3966.5,0.0,0.0,0.0,0.0,16.0,96.0,5.7729,5.5302,-320.0,-8659.35,-9132.0061875,0.0,-9132.0061875,3.36,2.84,23.50476190476191,150.77537279999999,-17945.4915603
30/03/2021,WSPM21,308.0,3950.535714285711,245.0,3953.0867346938794,3947.75,0.0,0.0,0.0,0.0,308.0,245.0,5.7413,5.5302,-257.0,86119.5,6451.785875020886,0.0,6451.785875020886,16.59,2.84,23.50476190476191,483.73765439999994,92070.95822062089
31/03/2021,WSPM21,164.0,3974.256097560981,87.0,3971.06896551724,3970.0,0.0,0.0,0.0,0.0,164.0,87.0,5.6416,5.5302,-180.0,-80650.198,-8532.920000013739,0.0,-8532.920000013739,7.529999999999999,2.84,23.50476190476191,257.5745952,-89448.22259521374
01/04/2021,WSPM21,85.0,3990.491176470589,125.0,4003.88,4015.5,0.0,0.0,0.0,0.0,85.0,125.0,5.705,5.6973,-220.0,-116809.875,9602.228124999358,0.0,9602.228124999358,6.3,2.84,23.50476190476191,202.25415,-107416.20102500064
