Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
09/02/2021,INDG21,40.0,119590.625,40.0,119608.125,119369.0,5.375,5.4759,0.0,0.0,700.0,16.0,1.96,,15.680000000000001,668.32
11/02/2021,INDG21,80.0,119886.875,80.0,119897.1875,119223.0,5.3906,5.4759,0.0,-0.0,825.0,32.0,1.96,,31.360000000000003,761.64
12/02/2021,INDG21,55.0,119523.63636363599,55.0,119557.72727272699,119380.0,5.3712,5.4759,0.0,0.0,1875.0000000049477,22.0,1.96,,21.560000000000002,1831.4400000049477
