Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L Trades,Gross P&L Rolagem,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
29/04/2021,DOLM21,0.0,0.0,0.0,0.0,5362.8719999999985,35.0,0.0,0.0,5361.154286,0.0,35.0,5.3546,5.6973,-35.0,0.0,0.0,-3005.999499997415,-3005.999499997415,17.5,1.05,0.0,209.375775,-3232.875274997415
30/04/2021,DOLM21,0.0,0.0,0.0,0.0,5434.249,40.0,10.0,5377.5,5372.3625,10.0,40.0,5.4102,5.6973,-65.0,-124909.7500000023,0.0,-95398.49999999933,-95398.49999999933,25.0,1.05,0.0,299.10825,-220632.35825000162
03/05/2021,DOLM21,20.0,5444.0,5.0,5454.0,5420.142,0.0,0.0,0.0,0.0,20.0,5.0,5.4069,5.4036,-50.0,45847.749999999905,-15393.500000000131,0.0,-15393.500000000131,12.5,1.05,8.095238095238095,141.8445,30299.905499999775
04/05/2021,DOLM21,0.0,0.0,0.0,0.0,5447.735,0.0,0.0,0.0,0.0,0.0,0.0,5.4322,5.4036,-50.0,-68982.49999999962,0.0,0.0,0.0,0.0,1.05,8.095238095238095,0.0,-68982.49999999962
05/05/2021,DOLM21,0.0,0.0,0.0,0.0,5371.67,0.0,0.0,0.0,0.0,0.0,0.0,5.3623,5.4036,-50.0,190162.499999999,0.0,0.0,0.0,0.0,1.05,8.095238095238095,0.0,190162.499999999
06/05/2021,DOLM21,0.0,0.0,0.0,0.0,5292.063,0.0,0.0,0.0,0.0,0.0,0.0,5.2816,5.4036,-50.0,199017.49999999994,0.0,0.0,0.0,0.0,1.05,8.095238095238095,0.0,199017.49999999994
07/05/2021,DOLM21,0.0,0.0,0.0,0.0,5237.687,0.0,0.0,0.0,0.0,0.0,0.0,5.2238,5.4036,-50.0,135940.00000000052,0.0,0.0,0.0,0.0,1.05,8.095238095238095,0.0,135940.00000000052
10/05/2021,DOLM21,0.0,0.0,0.0,0.0,5250.411999999998,0.0,0.0,0.0,0.0,0.0,0.0,5.2396,5.4036,-50.0,-31812.499999996362,0.0,0.0,0.0,0.0,1.05,9.285714285714286,0.0,-31812.499999996362
11/05/2021,DOLM21,0.0,0.0,0.0,0.0,5240.11,0.0,0.0,0.0,0.0,0.0,0.0,5.2367,5.4036,-50.0,25754.999999996926,0.0,0.0,0.0,0.0,1.05,9.285714285714286,0.0,25754.999999996926
