Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
25/02/2021,6L J21,0.0,0.0,3.0,0.1835,0.181199998,-3.0,0.0,690.0005999999986,0.39,0.13,4.86,684.7505999999986
26/02/2021,6L J21,0.0,0.0,0.0,0.0,0.178849995,-3.0,705.0008999999968,0.0,0.0,0.13,0.0,705.0008999999968
01/03/2021,6L J21,0.0,0.0,0.0,0.0,0.178149998,-3.0,209.99910000000233,0.0,0.0,0.13,0.0,209.99910000000233
02/03/2021,6L J21,1.0,0.17575,0.0,0.0,0.176550001,-2.0,479.99909999999755,80.00010000000223,0.13,0.13,1.62,558.2491999999997
03/03/2021,6L J21,0.0,0.0,4.0,0.1749,0.17350000100000001,-6.0,609.9999999999994,559.9995999999941,0.52,0.13,6.48,1162.9995999999935
04/03/2021,6L J21,0.0,0.0,0.0,0.0,0.176200002,-6.0,-1620.0005999999878,0.0,0.0,0.13,0.0,-1620.0005999999878
05/03/2021,6L J21,7.0,0.17544279999999998,1.0,0.17605,0.175349995,0.0,510.00419999999156,5.037000000018832,1.04,0.13,12.96,501.0412000000104
10/03/2021,6L J21,5.0,0.1724,10.0,0.1723,0.1759,-5.0,0.0,-1849.9999999999905,12.75,0.85,24.3,-1887.0499999999904
11/03/2021,6L J21,11.0,0.17932,16.0,0.1803,0.1803,-10.0,-2199.9999999999936,1077.999999999979,22.95,0.85,43.74,-1188.6900000000146
12/03/2021,6L J21,5.0,0.17978,0.0,0.0,0.17895,-5.0,1349.99999999999,-414.9999999999987,4.25,0.85,8.100000000000001,922.6499999999913
15/03/2021,6L J21,0.0,0.0,0.0,0.0,0.1774,-5.0,774.999999999998,0.0,0.0,0.85,0.0,774.999999999998
16/03/2021,6L J21,0.0,0.0,0.0,0.0,0.17785,-5.0,-225.00000000000298,0.0,0.0,0.85,0.0,-225.00000000000298
17/03/2021,6L J21,0.0,0.0,0.0,0.0,0.1789,-5.0,-524.9999999999977,0.0,0.0,0.85,0.0,-524.9999999999977
18/03/2021,6L J21,0.0,0.0,0.0,0.0,0.17985,-5.0,-475.0000000000032,0.0,0.0,0.85,0.0,-475.0000000000032
19/03/2021,6L J21,0.0,0.0,0.0,0.0,0.1825,-5.0,-1324.999999999993,0.0,0.0,0.85,0.0,-1324.999999999993
22/03/2021,6L J21,0.0,0.0,0.0,0.0,0.1815,-5.0,500.00000000000045,0.0,0.0,0.85,0.0,500.00000000000045
23/03/2021,6L J21,1.0,0.18125,0.0,0.0,0.18195,-4.0,-225.00000000000298,70.00000000000061,0.85,0.85,1.62,-157.4700000000024
24/03/2021,6L J21,0.0,0.0,0.0,0.0,0.1785,-4.0,1380.0000000000034,0.0,0.0,0.85,0.0,1380.0000000000034
25/03/2021,6L J21,0.0,0.0,0.0,0.0,0.1762,-4.0,919.9999999999986,0.0,0.0,0.85,0.0,919.9999999999986
26/03/2021,6L J21,0.0,0.0,0.0,0.0,0.17395,-4.0,900.0000000000008,0.0,0.0,0.85,0.0,900.0000000000008
29/03/2021,6L J21,0.0,0.0,0.0,0.0,0.17285,-4.0,439.99999999999596,0.0,0.0,0.85,0.0,439.99999999999596
30/03/2021,6L J21,4.0,0.1735,0.0,0.0,0.17365,0.0,-319.99999999999807,60.00000000000449,3.4,0.85,6.48,-269.8799999999936
