Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L,Gross P&L Trades,Gross P&L Rolagem
25/03/2021,ISPU21,0.0,0.0,4.0,3914.0,3914.0,5.67,5.5302,-4.0,0.0,0.0,4.0,2.16,125.23809523809524,47.780928,-51.780928,0.0,0
26/03/2021,ISPU21,4.0,3912.875,10.0,3964.0,3964.0,5.7506,5.5302,-10.0,-57506.00000000001,58799.885,14.0,2.16,125.23809523809524,119.45232,1160.4326799999947,58799.885,0
29/03/2021,ISPU21,10.0,3967.0,18.0,3964.75,3964.75,5.7729,5.5302,-18.0,-2164.8375,-6494.5125,28.0,2.16,123.47619047619048,215.014176,-8902.364176000001,-6494.5125,0
30/03/2021,ISPU21,23.0,3947.4782608695705,0.0,0.0,3949.0,5.7413,5.5302,5.0,81382.92749999999,10047.274999965275,23.0,2.16,123.47619047619048,274.740336,91132.46216396526,10047.274999965275,0
31/03/2021,ISPU21,0.0,0.0,25.0,3967.25,3967.25,5.6416,5.5302,-20.0,25739.800000000003,0.0,25.0,2.16,123.47619047619048,298.63079999999997,25416.169200000004,0.0,0
01/04/2021,ISPU21,20.0,3992.625,0.0,0.0,4014.0,5.705,5.6973,0.0,-266708.75,121944.375,20.0,2.16,123.47619047619048,246.12336000000002,-145030.49836,121944.375,0
07/04/2021,ISPU21,10.0,4071.85,0.0,0.0,4076.0,5.6267,5.6973,10.0,0.0,11675.402500000255,10.0,3.07,,174.90711000000002,11490.495390000255,11675.402500000255,0
08/04/2021,ISPU21,5.0,4093.5,10.0,4098.0,4098.0,5.5696,5.6973,5.0,61265.600000000006,6265.8,15.0,3.07,,174.90711000000002,67341.49289000001,6265.8,0
09/04/2021,ISPU21,0.0,0.0,10.0,4115.0,4115.0,5.6742,5.6973,-5.0,24115.35,0.0,10.0,3.07,,174.90711000000002,23930.44289,0.0,0
12/04/2021,ISPU21,15.0,4113.1666666666715,1.0,4119.0,4121.0,5.7328,5.6973,9.0,-8599.2,33106.919999979145,16.0,2.39,96.19047619047619,204.248205,24287.471794979145,33106.919999979145,0
13/04/2021,ISPU21,0.0,0.0,0.0,0.0,4134.0,5.6972,5.6973,9.0,33328.619999999995,0.0,0.0,2.39,96.19047619047619,0.0,33328.619999999995,0.0,0
14/04/2021,ISPU21,0.0,0.0,9.0,4122.0,4124.0,5.6815,5.6973,0.0,-25566.75,-5113.349999999999,9.0,2.39,96.19047619047619,122.54892300000002,-30811.648922999997,-5113.349999999999,0
15/04/2021,ISPU21,10.0,4153.625,0.0,0.0,4164.0,5.6134,5.6973,10.0,0.0,29119.5125,10.0,2.39,96.19047619047619,136.16547000000003,28973.34703,29119.5125,0
16/04/2021,ISPU21,4.0,4166.625,0.0,0.0,4175.0,5.5846,5.6973,14.0,30715.3,9354.205,4.0,2.39,96.19047619047619,54.466188,40011.038812,9354.205,0
19/04/2021,ISPU21,0.0,0.0,0.0,0.0,4159.0,5.5539,5.6973,14.0,-62203.67999999999,0.0,0.0,2.61,28.285714285714285,0.0,-62203.67999999999,0.0,0
20/04/2021,ISPU21,0.0,0.0,0.0,0.0,4123.0,5.5565,5.6973,14.0,-140023.8,0.0,0.0,2.61,28.285714285714285,0.0,-140023.8,0.0,0
22/04/2021,ISPU21,0.0,0.0,0.0,0.0,4132.0,5.4661,5.6973,14.0,34436.43,0.0,0.0,2.61,28.285714285714285,0.0,34436.43,0.0,0
23/04/2021,ISPU21,0.0,0.0,9.0,4168.0,4168.0,5.4949,5.6973,5.0,138471.48,0.0,9.0,2.61,28.285714285714285,133.829577,138328.650423,0.0,0
26/04/2021,ISPU21,0.0,0.0,0.0,0.0,4181.0,5.4618,5.6973,5.0,17750.850000000002,0.0,0.0,3.07,25.238095238095237,0.0,17750.850000000002,0.0,0
27/04/2021,ISPU21,0.0,0.0,0.0,0.0,4180.0,5.4529999999999985,5.6973,5.0,-1363.2499999999995,0.0,0.0,3.07,25.238095238095237,0.0,-1363.2499999999995,0.0,0
28/04/2021,ISPU21,0.0,0.0,5.0,4186.5,4186.5,5.3716,5.6973,0.0,8728.85,0.0,5.0,3.07,25.238095238095237,87.45355500000001,8636.396445,0.0,0
30/04/2021,ISPU21,0.0,0.0,9.0,4182.0,4182.0,5.4102,5.6973,-9.0,-0.0,0.0,9.0,3.07,25.238095238095237,157.416399,-166.416399,0.0,0
03/05/2021,ISPU21,10.0,4192.05,0.0,0.0,4186.0,5.4069,5.4036,1.0,-9732.42,-16355.872500000492,10.0,2.84,22.238095238095237,153.46223999999998,-26251.75474000049,-16355.872500000492,0
04/05/2021,ISPU21,0.0,0.0,0.0,0.0,4159.0,5.4322,5.4036,1.0,-7333.47,0.0,0.0,2.84,22.238095238095237,0.0,-7333.47,0.0,0
05/05/2021,ISPU21,0.0,0.0,10.0,4158.0,4160.0,5.3623,5.4036,-9.0,268.115,-5362.3,10.0,2.84,22.238095238095237,153.46223999999998,-5257.64724,-5362.3,0
06/05/2021,ISPU21,10.0,4163.0,4.0,4198.0,4200.0,5.2816,5.4036,-3.0,-95068.8,95596.96,14.0,2.84,22.238095238095237,153.46223999999998,360.69776000000354,95596.96,0
07/05/2021,ISPU21,0.0,0.0,0.0,0.0,4229.0,5.2238,5.4036,-3.0,-22723.53,0.0,0.0,2.84,22.238095238095237,0.0,-22723.53,0.0,0
10/05/2021,ISPU21,0.0,0.0,0.0,0.0,4175.0,5.2396,5.4036,-3.0,42440.76,0.0,0.0,2.84,16.476190476190474,0.0,42440.76,0.0,0
11/05/2021,ISPU21,0.0,0.0,0.0,0.0,4141.0,5.2367,5.4036,-3.0,26707.17,0.0,0.0,2.84,16.476190476190474,0.0,26707.17,0.0,0
12/05/2021,ISPU21,0.0,0.0,0.0,0.0,4053.0,5.2835,5.4036,-3.0,69742.2,0.0,0.0,2.84,16.476190476190474,0.0,69742.2,0.0,0
13/05/2021,ISPU21,0.0,0.0,0.0,0.0,4115.0,5.3017,5.4036,-3.0,-49305.810000000005,0.0,0.0,2.84,16.476190476190474,0.0,-49305.810000000005,0.0,0
14/05/2021,ISPU21,0.0,0.0,0.0,0.0,4175.0,5.2696,5.4036,-3.0,-47426.399999999994,0.0,0.0,2.84,16.476190476190474,0.0,-47426.399999999994,0.0,0
17/05/2021,ISPU21,0.0,0.0,0.0,0.0,4163.0,5.2588,5.4036,-3.0,9465.84,0.0,0.0,2.84,15.761904761904763,0.0,9465.84,0.0,0
18/05/2021,ISPU21,0.0,0.0,0.0,0.0,4116.0,5.2585,5.4036,-3.0,37072.424999999996,0.0,0.0,2.84,15.761904761904763,0.0,37072.424999999996,0.0,0
19/05/2021,ISPU21,0.0,0.0,0.0,0.0,4109.0,5.3095,5.4036,-3.0,5574.974999999999,0.0,0.0,2.84,15.761904761904763,0.0,5574.974999999999,0.0,0
20/05/2021,ISPU21,0.0,0.0,9.0,4154.0,4154.0,5.2845,5.4036,-12.0,-35670.375,0.0,9.0,2.84,15.761904761904763,138.116016,-35817.491016,0.0,0
