Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
16/04/2021,WINM21,50.0,121520.0,50.0,121530.0,121537.0,5.5846,5.6973,0.0,0.0,100.0,10.0,1.96,,9.8,80.2
19/04/2021,WINM21,75.0,121348.2,75.0,121386.66666666699,121357.0,5.5539,5.6973,0.0,-0.0,577.0000000049185,15.0,1.96,,14.700000000000001,547.3000000049185
26/04/2021,WINM21,175.0,120775.97142857099,100.0,120783.25,121078.0,5.4618,5.6973,75.0,-0.0,4676.000000015265,27.5,1.96,,34.300000000000004,4614.200000015265
