Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L,Gross P&L Trades,Gross P&L Rolagem
14/04/2021,WDOM21,0.0,0.0,25.0,5709.0,5709.394,5.6815,5.6973,-25.0,0.0,-98.50000000005821,2.5,1.05,,32.9019075,-133.9019075000582,-98.50000000005821,0
15/04/2021,WDOM21,6.0,5629.0,0.0,0.0,5631.026999999999,5.6134,5.6973,-19.0,19591.750000000276,121.61999999994805,0.6000000000000001,1.05,,7.896457800000001,19704.873542200225,121.61999999994805,0
16/04/2021,WDOM21,1.0,5672.0,5.0,5648.5,5597.529,5.5846,5.6973,-23.0,6364.61999999975,1803.839999999982,0.6000000000000001,1.05,,7.896457800000001,8159.963542199732,1803.839999999982,0
19/04/2021,WDOM21,7.0,5623.5,50.0,5618.5,5571.1309999999985,5.5539,5.6973,-66.0,6071.54000000045,20018.670000000646,5.7,1.05,17.257142857142856,75.0163491,26009.4936509011,20018.670000000646,0
20/04/2021,WDOM21,0.0,0.0,0.0,0.0,5575.453,5.5565,5.6973,-66.0,-2852.5200000012774,0.0,0.0,1.05,17.257142857142856,0.0,-2852.5200000012774,0.0,0
22/04/2021,WDOM21,0.0,0.0,0.0,0.0,5481.1269999999995,5.4661,5.6973,-66.0,62255.160000000615,0.0,0.0,1.05,17.257142857142856,0.0,62255.160000000615,0.0,0
23/04/2021,WDOM21,0.0,0.0,0.0,0.0,5507.225,5.4949,5.6973,-66.0,-17224.68000000057,0.0,0.0,1.05,17.257142857142856,0.0,-17224.68000000057,0.0,0
26/04/2021,WDOM21,6.0,5464.1666666666715,0.0,0.0,5470.641,5.4618,5.6973,-60.0,24145.44000000049,388.45999999968626,0.6000000000000001,1.05,15.733333333333333,7.896457800000001,24525.403542200176,388.45999999968626,0
27/04/2021,WDOM21,18.0,5455.4166666666715,0.0,0.0,5474.71,5.452999999999999,5.6973,-42.0,-2441.400000000249,3472.7999999991334,1.8,1.05,15.733333333333333,23.689373400000004,1005.9106265988846,3472.7999999991334,0
28/04/2021,WDOM21,0.0,0.0,0.0,0.0,5376.245,5.3716,5.6973,-42.0,41355.30000000006,0.0,0.0,1.05,15.733333333333333,0.0,41355.30000000006,0.0,0
29/04/2021,WDOM21,212.0,5370.06132075472,0.0,0.0,5362.8719999999985,5.3546,5.6973,170.0,5616.660000000593,-15241.360000010318,21.200000000000003,1.05,15.733333333333333,279.0081756000001,-9924.908175609726,-15241.360000010318,0
30/04/2021,WDOM21,161.0,5368.44099378882,6.0,5374.5,5434.249,5.4102,5.6973,325.0,121340.90000000224,102365.94999999888,16.7,1.05,15.733333333333333,219.7847421,223470.3652579011,102365.94999999888,0
03/05/2021,WDOM21,25.0,5454.5,100.0,5443.47,5420.142,5.4069,5.4036,250.0,-45847.749999999905,14738.500000000386,12.5,1.05,23.409523809523808,156.02895,-31277.77894999952,14738.500000000386,0
04/05/2021,WDOM21,0.0,0.0,0.0,0.0,5447.735,5.4322,5.4036,250.0,68982.49999999962,0.0,0.0,1.05,23.409523809523808,0.0,68982.49999999962,0.0,0
05/05/2021,WDOM21,0.0,0.0,0.0,0.0,5371.67,5.3623,5.4036,250.0,-190162.49999999898,0.0,0.0,1.05,23.409523809523808,0.0,-190162.49999999898,0.0,0
06/05/2021,WDOM21,45.0,5347.833333333329,45.0,5326.333333333329,5292.063,5.2816,5.4036,250.0,-199017.49999999994,-9675.0,9.0,1.05,23.409523809523808,112.34084399999999,-208813.84084399993,-9675.0,0
07/05/2021,WDOM21,0.0,0.0,0.0,0.0,5237.687,5.2238,5.4036,250.0,-135940.00000000052,0.0,0.0,1.05,23.409523809523808,0.0,-135940.00000000052,0.0,0
10/05/2021,WDOM21,0.0,0.0,0.0,0.0,5250.411999999998,5.2396,5.4036,250.0,31812.499999996362,0.0,0.0,1.05,24.923809523809524,0.0,31812.499999996362,0.0,0
11/05/2021,WDOM21,0.0,0.0,0.0,0.0,5240.11,5.2367,5.4036,250.0,-25754.999999996926,0.0,0.0,1.05,24.923809523809524,0.0,-25754.999999996926,0.0,0
12/05/2021,WDOM21,0.0,0.0,0.0,0.0,5290.559,5.2835,5.4036,250.0,126122.50000000131,0.0,0.0,1.05,24.923809523809524,0.0,126122.50000000131,0.0,0
13/05/2021,WDOM21,0.0,0.0,0.0,0.0,5305.053000000001,5.3017,5.4036,250.0,36235.00000000149,0.0,0.0,1.05,24.923809523809524,0.0,36235.00000000149,0.0,0
14/05/2021,WDOM21,0.0,0.0,0.0,0.0,5273.943,5.2696,5.4036,250.0,-77775.00000000146,0.0,0.0,1.05,24.923809523809524,0.0,-77775.00000000146,0.0,0
17/05/2021,WDOM21,0.0,0.0,0.0,0.0,5263.79,5.2588,5.4036,250.0,-25382.50000000062,0.0,0.0,1.05,15.438095238095238,0.0,-25382.50000000062,0.0,0
