Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
04/01/2021,WDOG21,18.0,5224.3333333333285,18.0,5200.9166666666715,5250.6669999999995,5.2407,5.1967,0.0,0.0,-4214.999999998254,3.6,1.05,,43.215757200000006,-4261.815757198254
05/01/2021,WDOG21,20.0,5266.0,20.0,5267.5,5268.022,5.2659,5.1967,0.0,0.0,300.0,4.0,1.05,,48.017508,247.982492
06/01/2021,WDOG21,20.0,5308.25,20.0,5312.5,5260.854,5.2641,5.1967,0.0,-0.0,850.0,4.0,1.05,,48.017508,797.982492
07/01/2021,WDOG21,50.0,5408.0,50.0,5385.2,5395.825,5.3863,5.1967,0.0,0.0,-11400.000000000091,10.0,1.05,,120.04377000000001,-11530.043770000091
11/01/2021,WDOG21,125.0,5492.2,125.0,5485.16,5482.526999999999,5.4921,5.1967,0.0,0.0,-8799.999999999955,25.0,1.05,,300.109425,-9125.109424999955
13/01/2021,WDOG21,80.0,5325.75,50.0,5317.6,5306.1,5.3125,5.1967,30.0,-0.0,-9969.999999999709,13.0,1.05,,156.056901,-10139.056900999709
14/01/2021,WDOG21,40.0,5290.25,70.0,5253.21428571429,5199.107,5.1989,5.1967,0.0,-32097.900000000118,1417.9000000029191,11.0,1.05,,132.048147,-30823.0481469972
18/01/2021,WDOG21,75.0,5271.97333333333,125.0,5266.9,5292.8859999999995,5.2810000000000015,5.1967,-50.0,0.0,-16797.9999999975,20.0,1.05,,240.08754000000002,-17058.0875399975
19/01/2021,WDOG21,0.0,0.0,0.0,0.0,5349.451,5.3533,5.1967,-50.0,-28282.500000000255,0.0,0.0,1.05,,0.0,-28282.500000000255
20/01/2021,WDOG21,0.0,0.0,0.0,0.0,5318.778,5.3166,5.1967,-50.0,15336.499999999887,0.0,0.0,1.05,,0.0,15336.499999999887
21/01/2021,WDOG21,0.0,0.0,0.0,0.0,5366.915,5.3725,5.1967,-50.0,-24068.499999999858,0.0,0.0,1.05,,0.0,-24068.499999999858
22/01/2021,WDOG21,0.0,0.0,0.0,0.0,5466.584,5.465,5.1967,-50.0,-49834.499999999935,0.0,0.0,1.05,,0.0,-49834.499999999935
26/01/2021,WDOG21,0.0,0.0,0.0,0.0,5347.228,5.3514,5.1967,-50.0,59677.99999999988,0.0,0.0,1.05,13.923809523809522,0.0,59677.99999999988
27/01/2021,WDOG21,0.0,0.0,0.0,0.0,5390.0869999999995,5.377999999999999,5.1967,-50.0,-21429.499999999734,0.0,0.0,1.05,13.923809523809522,0.0,-21429.499999999734
28/01/2021,WDOG21,0.0,0.0,0.0,0.0,5436.305,5.4287,5.1967,-50.0,-23109.00000000038,0.0,0.0,1.05,13.923809523809522,0.0,-23109.00000000038
29/01/2021,WDOG21,0.0,0.0,0.0,0.0,5475.9,5.4759,5.1967,-50.0,-19797.499999999673,0.0,0.0,1.05,13.923809523809522,0.0,-19797.499999999673
01/02/2021,WDOG21,0.0,0.0,50.0,5475.9,5475.9,5.4635,5.4759,-100.0,0.0,0.0,5.0,1.05,10.285714285714286,63.24664500000001,-68.246645
