Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
09/02/2021,WING21,50.0,119639.2,50.0,119604.9,119369.0,5.375,5.4759,0.0,0.0,-343.0000000000291,10.0,1.96,,9.8,-362.8000000000291
11/02/2021,WING21,50.0,119350.0,50.0,119337.5,119223.0,5.3906,5.4759,0.0,-0.0,-125.0,10.0,1.96,,9.8,-144.8
12/02/2021,WING21,100.0,119628.75,100.0,119628.75,119380.0,5.3712,5.4759,0.0,0.0,0.0,20.0,1.96,,19.6,-39.6
